Sorption Isotherm Fit Results,,,,,,
Sorptive,C2H4,,,,,
Pressure_Units,bar,,,,,
Uptake_Units,mmol/g,,,,,
Model,Dual-Site Langmuir-Freundlich,,,,,
,,,,,,
Parameter,Value,Std Error,,,,
nm1,9.0033,0.357,,,,
a1,0.863035,0.0526,,,,
m1,0.71208,0.00721,,,,
nm2,0.616331,0.247,,,,
a2,0.0436032,0.0314,,,,
m2,2.46337,0.618,,,,
R2,0.999985,,,,,
SSR,0.00169149,,,,,
,,,,,,
Correlation Matrix,,,,,,
,nm1,a1,m1,nm2,a2,m2
nm1,1,-0.9955,-0.8062,-0.9954,-0.9108,0.951
a1,-0.9955,1,0.8463,0.9832,0.8732,-0.9257
m1,-0.8062,0.8463,1,0.7537,0.5648,-0.6673
nm2,-0.9954,0.9832,0.7537,1,0.9391,-0.9699
a2,-0.9108,0.8732,0.5648,0.9391,1,-0.9868
m2,0.951,-0.9257,-0.6673,-0.9699,-0.9868,1
,,,,,,
Pressure,Uptake,Fitted,Residual,,,
0.01,0.312,0.283388,0.0286118,,,
0.05,0.841,0.835081,0.00591935,,,
0.1,1.287,1.29162,-0.00461815,,,
0.2,1.923,1.9388,-0.0157998,,,
0.4,2.801,2.79449,0.0065089,,,
0.7,3.612,3.62133,-0.00932802,,,
1,4.201,4.19645,0.00454779,,,
1.5,4.889,4.88468,0.00432,,,
2,5.401,5.39284,0.00816034,,,
3,6.122,6.12821,-0.00620788,,,
4,6.631,6.63959,-0.0085918,,,
5,7.01,7.00917,0.000830082,,,
7,7.512,7.49797,0.0140265,,,
10,7.921,7.92179,-0.000789983,,,
15,8.301,8.30418,-0.00318304,,,
20,8.521,8.52432,-0.00331584,,,
