Sorption Isotherm Fit Results,,,,,,
Sorptive,CO2,,,,,
Pressure_Units,bar,,,,,
Uptake_Units,mmol/g,,,,,
Model,Dual-Site Langmuir-Freundlich,,,,,
,,,,,,
Parameter,Value,Std Error,,,,
nm1,4.47329,0.145,,,,
a1,2.44444,0.176,,,,
m1,2.09642,0.038,,,,
nm2,1.52897,0.158,,,,
a2,0.0625718,0.0201,,,,
m2,2.58607,0.194,,,,
R2,0.999914,,,,,
SSR,0.0310969,,,,,
,,,,,,
Correlation Matrix,,,,,,
,nm1,a1,m1,nm2,a2,m2
nm1,1,-0.9734,-0.8524,-0.9958,-0.9462,0.8784
a1,-0.9734,1,0.9313,0.958,0.8597,-0.7744
m1,-0.8524,0.9313,1,0.8286,0.6871,-0.6
nm2,-0.9958,0.958,0.8286,1,0.9629,-0.912
a2,-0.9462,0.8597,0.6871,0.9629,1,-0.9785
m2,0.8784,-0.7744,-0.6,-0.912,-0.9785,1
,,,,,,
Pressure,Uptake,Fitted,Residual,,,
0.01,0.006,0.000701937,0.00529806,,,
0.02,0.012,0.00300138,0.00899862,,,
0.03,0.02,0.00701804,0.012982,,,
0.04,0.03,0.0128139,0.0171861,,,
0.05,0.042,0.0204267,0.0215733,,,
0.06,0.055,0.0298785,0.0251215,,,
0.07,0.07,0.0411796,0.0288204,,,
0.08,0.086,0.0543306,0.0316694,,,
0.09,0.103,0.0693236,0.0336764,,,
0.1,0.122,0.0861429,0.0358571,,,
0.12,0.16,0.125164,0.0348357,,,
0.14,0.205,0.171142,0.0338582,,,
0.16,0.258,0.223736,0.0342639,,,
0.18,0.318,0.282536,0.0354638,,,
0.2,0.384,0.347073,0.0369273,,,
0.25,0.52,0.530064,-0.0100637,,,
0.3,0.69,0.736968,-0.0469683,,,
0.35,0.9,0.959032,-0.0590323,,,
0.4,1.14,1.18825,-0.048251,,,
0.45,1.39,1.4179,-0.0278967,,,
0.5,1.64,1.64273,-0.00273424,,,
0.6,2.1,2.06423,0.0357708,,,
0.7,2.48,2.43683,0.0431736,,,
0.8,2.79,2.75789,0.0321129,,,
0.9,3.05,3.03157,0.0184269,,,
1,3.28,3.26463,0.0153735,,,
1.2,3.6,3.63643,-0.0364344,,,
1.4,3.88,3.92007,-0.040066,,,
1.6,4.12,4.14702,-0.0270159,,,
1.8,4.33,4.33662,-0.00661801,,,
2,4.52,4.5003,0.0196992,,,
2.25,4.7,4.67831,0.0216869,,,
2.5,4.85,4.83331,0.0166856,,,
2.75,4.98,4.96927,0.0107274,,,
3,5.09,5.08867,0.00132982,,,
3.25,5.19,5.19337,-0.00337074,,,
3.5,5.28,5.28499,-0.0049851,,,
3.75,5.36,5.365,-0.00499907,,,
4,5.43,5.4348,-0.00480013,,,
4.25,5.49,5.49567,-0.00567019,,,
4.5,5.54,5.54877,-0.00877368,,,
4.75,5.59,5.59515,-0.00515094,,,
5,5.63,5.63572,-0.00571863,,,
5.25,5.67,5.67128,-0.00127577,,,
5.5,5.7,5.70251,-0.00251329,,,
5.75,5.73,5.73003,-2.53E-05,,,
6,5.76,5.75432,0.00567914,,,
6.25,5.78,5.77584,0.00416494,,,
6.5,5.8,5.79494,0.00506047,,,
6.75,5.815,5.81195,0.00304833,,,
7,5.83,5.82714,0.00285732,,,
7.25,5.845,5.84074,0.00425537,,,
7.5,5.855,5.85296,0.00204361,,,
7.75,5.865,5.86395,0.00105127,,,
8,5.875,5.87387,0.00113143,,,
8.25,5.885,5.88284,0.00215734,,,
8.5,5.892,5.89098,0.00101945,,,
8.75,5.898,5.89838,-0.000377211,,,
9,5.904,5.90512,-0.00111514,,,
9.25,5.91,5.91127,-0.00126622,,,
9.5,5.915,5.91689,-0.00189322,,,
9.75,5.92,5.92205,-0.00205107,,,
10,5.924,5.92679,-0.00278801,,,
