Model,Dual-Site Langmuir
Sorptive,CO2
Pressure_Units,bar
Uptake_Units,mmol/g
TemperatureK,283.15
Sorptive_MW,44.01
Host_Formula,MOF-X
Parameter,Value,Std Error
q1,4.000000,0.000000
K1,4.522206,0.000000
q2,5.000000,0.000000
K2,0.585515,0.000000
R2,0.999999,
SSR,0.000001,
Pressure,Uptake,Fitted,Residual
0.00100000,0.02093325,0.02093325,0.00000000
0.00143845,0.03005933,0.03005933,0.00000000
0.00206914,0.04313153,0.04313153,0.00000000
0.00297635,0.06182200,0.06182200,0.00000000
0.00428133,0.08847592,0.08847592,0.00000000
0.00615848,0.12634592,0.12634592,0.00000000
0.00885867,0.17987129,0.17987129,0.00000000
0.01274275,0.25497143,0.25497143,0.00000000
0.01832981,0.35927672,0.35927672,0.00000000
0.02636651,0.50214604,0.50214604,0.00000000
0.03792690,0.69423440,0.69423440,0.00000000
0.05455595,0.94633636,0.94633636,0.00000000
0.07847600,1.26737070,1.26737070,0.00000000
0.11288379,1.66182884,1.66182884,0.00000000
0.16237767,2.12770184,2.12770184,0.00000000
0.23357215,2.65625615,2.65625615,0.00000000
0.33598183,3.23422880,3.23422880,0.00000000
0.48329302,3.84713900,3.84713900,0.00000000
0.69519280,4.48115908,4.48115908,0.00000000
1.00000000,5.12210236,5.12210236,0.00000000
