Host_Formula,C28 H18 N4 O4 Zn1
Host_Mass,78.2892
Sorptive,CO2
Pressure (mbar),Residual mass (microGram)
-0.1,13.04
51,62.911
100.8,96.248
150.8,127.053
200.7,162.844
250.6,197.044
300.6,229.848
350.6,263.153
400.6,296.162
450.6,331.076
500.6,369.683
600.5,432.411
699.9,678.512
800.6,825.297
900.2,950.724
998.4,1070.855
1198.9,1252.228
1500.1,1462.062
2000.3,1753.356
2995.9,2126.56
3997,2395.856
4995.6,2580.761
5996,2717.22
7002.6,2826.309
8000.5,2907.188
8998.6,2982.952
10002.1,3044.329
10991.5,3096.113
12002,3143.637
12999.5,3188.85
14009.4,3225.406
14996.4,3259.821
15984.2,3295.837
16985.5,3326.823
17978.6,3365.29
18986.2,3393.776
19975.9,3430.663
20978.7,3463.266
21974.7,3476.982
22994.2,3509.645
23994.2,3537.345
24981.3,3561.24
25985.9,3691.564
26982.2,3733.859
27973.3,3970.799
28970.6,4190.949
29971,4420.237
31973.6,4768.964
32980.6,4948.774
34976.5,5082.4
36988.3,5295.594
,
,
36988.3,5295.594
34013.4,5293.368
33062.6,5307.43
32073.7,5297.349
31066.4,5277.997
29025.9,5265.589
27020.8,5255.962
25511.2,5257.515
23549.8,5245.254
21521.1,5224.198
19508.9,5198.337
18507,5185.415
17513.2,5160.373
15505.5,5101.051
13501.9,4838.441
11004,4082.7
9503.2,3566.411
7502,3249.799
5500,3000.506
4500.4,2900.312
3499.2,2763.53
2501.5,2558.116
1500.6,2246.701
749.9,1845.928
449.1,1590.476
199.2,1378.642
99.5,1213.861
50.3,1207.637
